"Correlation","EOI","model","ROI"
0.400544352735383,"GPE_NPZ","lstm",1
0.226192530696709,"GPE_MVRR","gpt2",1
0.437779527363162,"GPE_NPS","gpt2",1
0.220626161143924,"GPE_NPZ","gpt2",1
0.0591376064908357,"GPE_MVRR","nosurp",1
-0.0802301119867478,"GPE_NPS","nosurp",1
0.112300061637955,"GPE_NPZ","nosurp",1
0.296015905695866,"GPE_MVRR","lstm",1
0.366033013106159,"GPE_NPS","lstm",1
0.288219813057658,"GPE_NPZ","lstm",1
0.0562106759714492,"GPE_MVRR","gpt2",1
0.534553382674793,"GPE_NPS","gpt2",1
0.449703614847075,"GPE_NPZ","gpt2",1
0.0758271588152593,"GPE_MVRR","nosurp",1
0.00334087013435029,"GPE_NPS","nosurp",1
0.0655040568235834,"GPE_NPZ","nosurp",1
0.348604839333802,"GPE_MVRR","lstm",1
0.286692453274012,"GPE_NPS","lstm",1
0.287183106676167,"GPE_NPZ","lstm",1
-0.244701305618315,"GPE_MVRR","gpt2",1
0.415634826733642,"GPE_NPS","gpt2",1
0.106827895025034,"GPE_NPZ","gpt2",1
0.217488584391915,"GPE_MVRR","nosurp",1
0.0785417826934114,"GPE_NPS","nosurp",1
0.132290181952317,"GPE_NPZ","nosurp",1
0.507939082557348,"GPE_MVRR","lstm",1
0.152582285741542,"GPE_NPS","lstm",1
0.151710427410325,"GPE_NPZ","lstm",1
0.146615832471752,"GPE_MVRR","gpt2",1
0.651751451064154,"GPE_NPS","gpt2",1
0.137905681369389,"GPE_NPZ","gpt2",1
0.0147051043910133,"GPE_MVRR","nosurp",1
0.291050330364681,"GPE_NPS","nosurp",1
-0.00747018814104021,"GPE_NPZ","nosurp",1
0.40280878552591,"GPE_MVRR","lstm",1
0.329984526310555,"GPE_NPS","lstm",1
0.286619103083333,"GPE_NPZ","lstm",1
-0.168644711778649,"GPE_MVRR","gpt2",1
0.430500028416784,"GPE_NPS","gpt2",1
0.0581720782043329,"GPE_NPZ","gpt2",1
0.0486745448084354,"GPE_MVRR","nosurp",1
-0.0276685984332953,"GPE_NPS","nosurp",1
-0.0182876715640238,"GPE_NPZ","nosurp",1
0.353905136083846,"GPE_MVRR","lstm",1
0.0707629749649465,"GPE_NPS","lstm",1
0.34391241932577,"GPE_NPZ","lstm",1
0.0285053525387467,"GPE_MVRR","gpt2",1
0.538731980352404,"GPE_NPS","gpt2",1
0.133679426337912,"GPE_NPZ","gpt2",1
0.105273942640827,"GPE_MVRR","nosurp",1
0.248780162340327,"GPE_NPS","nosurp",1
-0.00798141980623115,"GPE_NPZ","nosurp",1
0.147494034835666,"GPE_MVRR","lstm",1
0.196426579281163,"GPE_NPS","lstm",1
0.269242734791537,"GPE_NPZ","lstm",1
-0.120376157132508,"GPE_MVRR","gpt2",1
0.242133423824027,"GPE_NPS","gpt2",1
0.332020750096027,"GPE_NPZ","gpt2",1
0.0941617537389694,"GPE_MVRR","nosurp",1
0.17008519628374,"GPE_NPS","nosurp",1
-0.162134488949939,"GPE_NPZ","nosurp",1
0.302982563810547,"GPE_MVRR","lstm",1
0.178604366477244,"GPE_NPS","lstm",1
0.366782405714166,"GPE_NPZ","lstm",1
0.097495461531061,"GPE_MVRR","gpt2",1
0.540498948706127,"GPE_NPS","gpt2",1
0.44339936063445,"GPE_NPZ","gpt2",1
-0.142808610384154,"GPE_MVRR","nosurp",1
-0.296916802947465,"GPE_NPS","nosurp",1
0.0467219653202709,"GPE_NPZ","nosurp",1
0.294103288506963,"GPE_MVRR","lstm",1
-0.0902332499861331,"GPE_NPS","lstm",1
0.408914803238573,"GPE_NPZ","lstm",1
-0.189231580820887,"GPE_MVRR","gpt2",1
0.402226363651817,"GPE_NPS","gpt2",1
0.285815236485705,"GPE_NPZ","gpt2",1
0.0491358943317229,"GPE_MVRR","nosurp",1
-0.0242951456103727,"GPE_NPS","nosurp",1
-0.191809143758426,"GPE_NPZ","nosurp",1
0.191172631608087,"GPE_MVRR","lstm",1
0.0775557636466277,"GPE_NPS","lstm",1
0.201058200324792,"GPE_NPZ","lstm",1
-0.130592706286579,"GPE_MVRR","gpt2",1
0.479078951330129,"GPE_NPS","gpt2",1
0.188564049354761,"GPE_NPZ","gpt2",1
-0.173510705210153,"GPE_MVRR","nosurp",1
-0.528600730321829,"GPE_NPS","nosurp",1
-0.118204912562919,"GPE_NPZ","nosurp",1
0.131577364618956,"GPE_MVRR","lstm",1
0.430491191014868,"GPE_NPS","lstm",1
0.250385123779788,"GPE_NPZ","lstm",1
-0.131531315562411,"GPE_MVRR","gpt2",1
0.387973389446961,"GPE_NPS","gpt2",1
0.0352855859441935,"GPE_NPZ","gpt2",1
0.216719280107402,"GPE_MVRR","nosurp",1
-0.0534997043350922,"GPE_NPS","nosurp",1
-0.0104734927867294,"GPE_NPZ","nosurp",1
0.388011333477505,"GPE_MVRR","lstm",1
0.455259228201517,"GPE_NPS","lstm",1
0.331158181437385,"GPE_NPZ","lstm",1
0.221157056654859,"GPE_MVRR","gpt2",1
0.312946913774409,"GPE_NPS","gpt2",1
0.131387021371827,"GPE_NPZ","gpt2",1
0.00067871873837003,"GPE_MVRR","nosurp",1
0.183311212833673,"GPE_NPS","nosurp",1
0.220499938794107,"GPE_NPZ","nosurp",1
0.246740505948276,"GPE_MVRR","lstm",1
0.333689609218528,"GPE_NPS","lstm",1
0.265678830383552,"GPE_NPZ","lstm",1
0.0183200906989632,"GPE_MVRR","gpt2",1
0.49918799094782,"GPE_NPS","gpt2",1
0.217374360532027,"GPE_NPZ","gpt2",1
-0.076494069371423,"GPE_MVRR","nosurp",1
0.458267962692989,"GPE_NPS","nosurp",1
-0.2294321638903,"GPE_NPZ","nosurp",1
0.427476109716059,"GPE_MVRR","lstm",1
0.267710097694464,"GPE_NPS","lstm",1
0.493005667934529,"GPE_NPZ","lstm",1
-0.177633855874054,"GPE_MVRR","gpt2",1
0.385778094897831,"GPE_NPS","gpt2",1
0.197457983768632,"GPE_NPZ","gpt2",1
0.399907154260776,"GPE_MVRR","nosurp",1
0.00799739455714092,"GPE_NPS","nosurp",1
0.359162113523916,"GPE_NPZ","nosurp",1
0.420730289842049,"GPE_MVRR","lstm",1
0.599623324757311,"GPE_NPS","lstm",1
0.319406627308969,"GPE_NPZ","lstm",1
0.109351195931775,"GPE_MVRR","gpt2",1
0.541018635031229,"GPE_NPS","gpt2",1
0.297052016101847,"GPE_NPZ","gpt2",1
0.287914702827033,"GPE_MVRR","nosurp",1
0.092651794846545,"GPE_NPS","nosurp",1
0.478746471261949,"GPE_NPZ","nosurp",1
0.0512029036653906,"GPE_MVRR","lstm",1
0.270296541109252,"GPE_NPS","lstm",1
0.365747577095716,"GPE_NPZ","lstm",1
-0.0402156467623283,"GPE_MVRR","gpt2",1
0.669428969802735,"GPE_NPS","gpt2",1
0.239437356169019,"GPE_NPZ","gpt2",1
0.167258542686164,"GPE_MVRR","nosurp",1
0.195327153884199,"GPE_NPS","nosurp",1
0.237586422064216,"GPE_NPZ","nosurp",1
0.433400082946188,"GPE_MVRR","lstm",1
0.207099348961864,"GPE_NPS","lstm",1
0.273005236161829,"GPE_NPZ","lstm",1
0.00894292091499897,"GPE_MVRR","gpt2",1
0.640780043713469,"GPE_NPS","gpt2",1
0.19683890588723,"GPE_NPZ","gpt2",1
0.0230610535890264,"GPE_MVRR","nosurp",1
-0.0253931074274142,"GPE_NPS","nosurp",1
0.320410955097308,"GPE_NPZ","nosurp",1
0.164566542182193,"GPE_MVRR","lstm",1
0.0692102470094851,"GPE_NPS","lstm",1
0.484587044372648,"GPE_NPZ","lstm",1
-0.154212581664069,"GPE_MVRR","gpt2",1
0.311631724441132,"GPE_NPS","gpt2",1
0.183448172498492,"GPE_NPZ","gpt2",1
0.348912399258851,"GPE_MVRR","nosurp",1
0.14615484724826,"GPE_NPS","nosurp",1
-0.0698592479200745,"GPE_NPZ","nosurp",1
0.433007231465087,"GPE_MVRR","lstm",1
0.412830830800592,"GPE_NPS","lstm",1
0.303232530206503,"GPE_NPZ","lstm",1
0.113485580989435,"GPE_MVRR","gpt2",1
0.49636730070899,"GPE_NPS","gpt2",1
0.33837044033647,"GPE_NPZ","gpt2",1
-0.0184426043318928,"GPE_MVRR","nosurp",1
0.449997529725029,"GPE_NPS","nosurp",1
0.146343270395146,"GPE_NPZ","nosurp",1
0.213794661375968,"GPE_MVRR","lstm",1
0.415202373346838,"GPE_NPS","lstm",1
0.359904145892936,"GPE_NPZ","lstm",1
-0.0481779603565676,"GPE_MVRR","gpt2",1
0.402031536890774,"GPE_NPS","gpt2",1
0.382987268449709,"GPE_NPZ","gpt2",1
0.359651827598718,"GPE_MVRR","nosurp",1
0.145929302187896,"GPE_NPS","nosurp",1
0.0807741664129863,"GPE_NPZ","nosurp",1
0.120110815750681,"GPE_MVRR","lstm",1
0.301781448673009,"GPE_NPS","lstm",1
0.284464626074632,"GPE_NPZ","lstm",1
-0.0579346909261029,"GPE_MVRR","gpt2",1
0.394539063436527,"GPE_NPS","gpt2",1
0.322397522547297,"GPE_NPZ","gpt2",1
-0.279636808582792,"GPE_MVRR","nosurp",1
-0.0879422981107058,"GPE_NPS","nosurp",1
-0.172278697910555,"GPE_NPZ","nosurp",1
0.429069074421913,"GPE_MVRR","lstm",1
0.345817386372463,"GPE_NPS","lstm",1
0.357221900567915,"GPE_NPZ","lstm",1
-0.36413849785137,"GPE_MVRR","gpt2",1
0.58271072528536,"GPE_NPS","gpt2",1
0.275607588371847,"GPE_NPZ","gpt2",1
-0.178418209581643,"GPE_MVRR","nosurp",1
0.441387073371921,"GPE_NPS","nosurp",1
0.284943977715904,"GPE_NPZ","nosurp",1
0.180935425332982,"GPE_MVRR","lstm",1
0.119616651849953,"GPE_NPS","lstm",1
0.449135302380468,"GPE_NPZ","lstm",1
-0.200906272151968,"GPE_MVRR","gpt2",1
0.328720630597888,"GPE_NPS","gpt2",1
0.104677942115742,"GPE_NPZ","gpt2",1
0.279494268483956,"GPE_MVRR","nosurp",1
-0.206299143274003,"GPE_NPS","nosurp",1
-0.0921439713983704,"GPE_NPZ","nosurp",1
0.422368435548554,"GPE_MVRR","lstm",1
0.179317933081016,"GPE_NPS","lstm",1
0.439026011383889,"GPE_NPZ","lstm",1
0.152639675104426,"GPE_MVRR","gpt2",1
0.579313071469464,"GPE_NPS","gpt2",1
0.207111219907592,"GPE_NPZ","gpt2",1
0.263664588042756,"GPE_MVRR","nosurp",1
0.102842711351786,"GPE_NPS","nosurp",1
-0.320688794693061,"GPE_NPZ","nosurp",1
0.272141941576666,"GPE_MVRR","lstm",1
0.0572330578477577,"GPE_NPS","lstm",1
0.243464092774463,"GPE_NPZ","lstm",1
-0.222529151791461,"GPE_MVRR","gpt2",1
0.0769026268152282,"GPE_NPS","gpt2",1
0.356530858872723,"GPE_NPZ","gpt2",1
-0.336943107786878,"GPE_MVRR","nosurp",1
0.282641780883754,"GPE_NPS","nosurp",1
-0.3353127184133,"GPE_NPZ","nosurp",1
0.18519698024171,"GPE_MVRR","lstm",1
0.125711300095821,"GPE_NPS","lstm",1
0.342243204702508,"GPE_NPZ","lstm",1
0.243568479050386,"GPE_MVRR","gpt2",1
0.350077468048507,"GPE_NPS","gpt2",1
0.416677821013501,"GPE_NPZ","gpt2",1
-0.365595676243634,"GPE_MVRR","nosurp",1
0.0733438974016062,"GPE_NPS","nosurp",1
-0.0137751706521531,"GPE_NPZ","nosurp",1
0.392405765472779,"GPE_MVRR","lstm",1
0.233710433601218,"GPE_NPS","lstm",1
0.456036661016848,"GPE_NPZ","lstm",1
-0.28375865615985,"GPE_MVRR","gpt2",1
0.537991555824393,"GPE_NPS","gpt2",1
0.216923400337666,"GPE_NPZ","gpt2",1
0.0813039512805746,"GPE_MVRR","nosurp",1
-0.226338159866449,"GPE_NPS","nosurp",1
-0.122122000474989,"GPE_NPZ","nosurp",1
0.555566337355582,"GPE_MVRR","lstm",1
0.0431465799954679,"GPE_NPS","lstm",1
0.440355833239989,"GPE_NPZ","lstm",1
-0.10878837882904,"GPE_MVRR","gpt2",1
0.457930843166421,"GPE_NPS","gpt2",1
0.216890621307953,"GPE_NPZ","gpt2",1
0.242650311235528,"GPE_MVRR","nosurp",1
0.35350397217245,"GPE_NPS","nosurp",1
0.424707241848035,"GPE_NPZ","nosurp",1
0.421853562969361,"GPE_MVRR","lstm",1
0.344971339829068,"GPE_NPS","lstm",1
0.124745813317776,"GPE_NPZ","lstm",1
