"Correlation","EOI","model","ROI"
0.2917950603836,"Agr","nosurp",1
-0.0373249226534133,"Agr","lstm",1
-0.0311497369843602,"Agr","gpt2",1
0.0543578815005381,"Agr","nosurp",1
0.597989431648818,"Agr","lstm",1
0.41200346636396,"Agr","gpt2",1
0.413225929790998,"Agr","nosurp",1
-0.219733048088297,"Agr","lstm",1
-0.0478614047386601,"Agr","gpt2",1
-0.132923356669328,"Agr","nosurp",1
-0.0968165196583771,"Agr","lstm",1
-0.00945137181940412,"Agr","gpt2",1
-0.0850346099352494,"Agr","nosurp",1
0.205436163212793,"Agr","lstm",1
0.201442031891235,"Agr","gpt2",1
0.210698720690489,"Agr","nosurp",1
0.130489521422043,"Agr","lstm",1
0.0531661768147124,"Agr","gpt2",1
0.286683444684019,"Agr","nosurp",1
0.274984522283032,"Agr","lstm",1
0.294410129118082,"Agr","gpt2",1
0.319890732961444,"Agr","nosurp",1
0.18792412524232,"Agr","lstm",1
-0.0768660274153214,"Agr","gpt2",1
-0.0404365209538507,"Agr","nosurp",1
-0.0347464825811579,"Agr","lstm",1
0.101776933762598,"Agr","gpt2",1
-0.106128883766909,"Agr","nosurp",1
0.203939912219089,"Agr","lstm",1
0.395491969103274,"Agr","gpt2",1
0.32205243647619,"Agr","nosurp",1
-0.0497109234344444,"Agr","lstm",1
-0.133208704982146,"Agr","gpt2",1
-0.187619104549457,"Agr","nosurp",1
0.139452271525428,"Agr","lstm",1
-0.0464672953659706,"Agr","gpt2",1
0.311371803409524,"Agr","nosurp",1
-0.185045472100199,"Agr","lstm",1
-0.160529258855325,"Agr","gpt2",1
-0.163529007392065,"Agr","nosurp",1
-0.118653399344903,"Agr","lstm",1
-0.256299435689223,"Agr","gpt2",1
-0.407304636701162,"Agr","nosurp",1
0.0524564324071322,"Agr","lstm",1
0.236472153660778,"Agr","gpt2",1
0.191663625710289,"Agr","nosurp",1
0.0670159961721213,"Agr","lstm",1
0.0210875862526102,"Agr","gpt2",1
0.00853135247011007,"Agr","nosurp",1
-0.182651232197932,"Agr","lstm",1
-0.23085246346278,"Agr","gpt2",1
-0.172251552907428,"Agr","nosurp",1
-0.0281892222550943,"Agr","lstm",1
-0.126258831136844,"Agr","gpt2",1
-0.0516785472136072,"Agr","nosurp",1
0.303903116785794,"Agr","lstm",1
0.201497538440949,"Agr","gpt2",1
0.321468212467287,"Agr","nosurp",1
-0.0425025379741477,"Agr","lstm",1
-0.068152160705826,"Agr","gpt2",1
-0.0335372537497718,"Agr","nosurp",1
0.304566474351541,"Agr","lstm",1
0.297913260475439,"Agr","gpt2",1
0.132261780757685,"Agr","nosurp",1
-0.0194017236412271,"Agr","lstm",1
-0.106536695183923,"Agr","gpt2",1
0.17637574378002,"Agr","nosurp",1
0.223176626422231,"Agr","lstm",1
0.329915163285032,"Agr","gpt2",1
-0.035502238897461,"Agr","nosurp",1
-0.114765243653948,"Agr","lstm",1
0.125758098443461,"Agr","gpt2",1
-0.157543324804311,"Agr","nosurp",1
-0.318160809105478,"Agr","lstm",1
-0.171978659212613,"Agr","gpt2",1
-0.151349722836801,"Agr","nosurp",1
-0.0879446456796752,"Agr","lstm",1
-0.0543310424929263,"Agr","gpt2",1
0.0562385800911933,"Agr","nosurp",1
0.34648405487165,"Agr","lstm",1
0.328742722660856,"Agr","gpt2",1
0.126931371228642,"Agr","nosurp",1
-0.285494863201011,"Agr","lstm",1
-0.264419620222573,"Agr","gpt2",1
-0.505480104396512,"Agr","nosurp",1
-0.11272230989011,"Agr","lstm",1
0.26971493580696,"Agr","gpt2",1
-0.0242383730646332,"Agr","nosurp",1
0.156080283244471,"Agr","lstm",1
0.136938542395168,"Agr","gpt2",1
-0.144609995896814,"Agr","nosurp",1
-0.11279077375394,"Agr","lstm",1
-0.180148877992595,"Agr","gpt2",1
0.0118033685229402,"Agr","nosurp",1
-0.389798353892678,"Agr","lstm",1
-0.370840651709544,"Agr","gpt2",1
-0.246499862170687,"Agr","nosurp",1
-0.0987345650745195,"Agr","lstm",1
0.167753858770114,"Agr","gpt2",1
-0.0209139493873218,"Agr","nosurp",1
-0.117365036295676,"Agr","lstm",1
0.158363556186555,"Agr","gpt2",1
-0.147994526508117,"Agr","nosurp",1
-0.0603846914915222,"Agr","lstm",1
-0.065091249566572,"Agr","gpt2",1
-0.310295512779146,"Agr","nosurp",1
0.124491071471954,"Agr","lstm",1
-0.151243235142908,"Agr","gpt2",1
-0.233527081596706,"Agr","nosurp",1
0.407594688895107,"Agr","lstm",1
0.361803622748375,"Agr","gpt2",1
0.606115301058504,"Agr","nosurp",1
0.136070962475405,"Agr","lstm",1
0.0527431633894503,"Agr","gpt2",1
-0.0345919608311197,"Agr","nosurp",1
-0.272858929527936,"Agr","lstm",1
-0.0979301962535835,"Agr","gpt2",1
-0.128750515831722,"Agr","nosurp",1
-0.14754132829395,"Agr","lstm",1
0.029147843812962,"Agr","gpt2",1
0.00276346219386193,"Agr","nosurp",1
-0.256568795646559,"Agr","lstm",1
-0.304406367009811,"Agr","gpt2",1
-0.404743161759533,"Agr","nosurp",1
-0.0356093511698256,"Agr","lstm",1
0.0527470266276043,"Agr","gpt2",1
-0.103814644511129,"Agr","nosurp",1
0.201339584810046,"Agr","lstm",1
-0.00161694414139687,"Agr","gpt2",1
0.149329004141023,"Agr","nosurp",1
0.127273134436451,"Agr","lstm",1
0.0413615309747632,"Agr","gpt2",1
-0.25273941786817,"Agr","nosurp",1
-0.0144017511559827,"Agr","lstm",1
-0.142170158179948,"Agr","gpt2",1
0.20071867246349,"Agr","nosurp",1
-0.119480915552459,"Agr","lstm",1
-0.324181712687823,"Agr","gpt2",1
-0.142423278298918,"Agr","nosurp",1
-0.1991247650359,"Agr","lstm",1
-0.04582406269238,"Agr","gpt2",1
-0.143754278747229,"Agr","nosurp",1
-0.224525042264969,"Agr","lstm",1
-0.47493380336534,"Agr","gpt2",1
-0.103023636069685,"Agr","nosurp",1
0.287698909233691,"Agr","lstm",1
0.322688428304042,"Agr","gpt2",1
0.0704673238679097,"Agr","nosurp",1
0.365131311293962,"Agr","lstm",1
0.233209567933764,"Agr","gpt2",1
0.410214300522273,"Agr","nosurp",1
-0.149954488002785,"Agr","lstm",1
0.0913856153297655,"Agr","gpt2",1
-0.301258814585078,"Agr","nosurp",1
-0.46073756819246,"Agr","lstm",1
-0.383959041338651,"Agr","gpt2",1
-0.33711419850189,"Agr","nosurp",1
-0.236431766425797,"Agr","lstm",1
-0.0770317804796984,"Agr","gpt2",1
-0.373092909386525,"Agr","nosurp",1
-0.137281879030551,"Agr","lstm",1
-0.0849763892823803,"Agr","gpt2",1
-0.133166242702327,"Agr","nosurp",1
-0.0873108303695727,"Agr","lstm",1
-0.0503462620612697,"Agr","gpt2",1
-0.221056624622345,"Agr","nosurp",1
0.0673991772268731,"Agr","lstm",1
0.0742122543172645,"Agr","gpt2",1
0.0167356900251255,"Agr","nosurp",1
0.171030675013773,"Agr","lstm",1
-0.121789155701569,"Agr","gpt2",1
0.102302504660068,"Agr","nosurp",1
-0.0663157489706178,"Agr","lstm",1
-0.091228827385859,"Agr","gpt2",1
-0.0854100483686439,"Agr","nosurp",1
0.125462536500805,"Agr","lstm",1
0.0161009086928551,"Agr","gpt2",1
0.21436975040348,"Agr","nosurp",1
0.127703057977695,"Agr","lstm",1
0.184074142555566,"Agr","gpt2",1
0.186124842938647,"Agr","nosurp",1
-0.295071444698654,"Agr","lstm",1
-0.042021952137137,"Agr","gpt2",1
0.0411810792392743,"Agr","nosurp",1
-0.0548521628031766,"Agr","lstm",1
-0.0374590231104297,"Agr","gpt2",1
-0.145243046413355,"Agr","nosurp",1
0.0927528562508232,"Agr","lstm",1
0.186315658826588,"Agr","gpt2",1
0.168872801838105,"Agr","nosurp",1
-0.0778456309115355,"Agr","lstm",1
0.0837357899961594,"Agr","gpt2",1
0.0630693780282769,"Agr","nosurp",1
-0.191574534117205,"Agr","lstm",1
-0.214852929898829,"Agr","gpt2",1
-0.403091965834415,"Agr","nosurp",1
-0.0659394768920095,"Agr","lstm",1
-0.0366850401619937,"Agr","gpt2",1
0.0889724044670998,"Agr","nosurp",1
-0.340183449741406,"Agr","lstm",1
